kpler_name,capacity_bbl_d,capacity_kt_yr,source_url,source_note,accessed
Jamnagar Refinery,1400000,69860,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Hengyi Refinery,160000,7984,https://www.hydrocarbonprocessing.com/news/2026/01/chinas-hengyi-petrochemical-to-proceed-with-brunei-refinery-expansion/,Hengyi Pulau Muara Besar phase 1; WP list omits it,2026-05-29
Tema Oil Refinery,45000,2246,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Petron Bataan Refinery,180000,8982,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Petronas Melaka Refinery,300000,14970,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Lytton Refinery,104000,5190,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Dangote Refinery,650000,32435,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Sinopec Hainan,184000,9182,https://www.offshore-technology.com/marketdata/hainan-refinery-china/,Sinopec Hainan; WP list omits it,2026-05-29
La Rabida,190000,9481,https://www.power-technology.com/projects/huelva/,Cepsa/Moeve La Rabida (Huelva); WP list omits it,2026-05-29
Bizerte,34000,1697,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Rayong IRPC Refinery,215000,10728,https://en.wikipedia.org/wiki/IRPC,IRPC Rayong; WP list lists only the separate PTT/Shell Rayong refinery,2026-05-29
MIDOR Refinery,100000,4990,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Mostorod Refinery I,71500,3568,http://abarrelfull.wikidot.com/cairo-oil-refining-company,CORC Mostorod I; immaterial (no seaborne crude in window),2026-05-29
Mostorod Refinery II,161000,8034,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
NATREF Refinery,108500,5414,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Zarqa Refinery,90000,4491,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
MAF Refinery,106000,5289,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Pertamina Dumai,170000,8483,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
M'Bao Oil Refinery,30000,1497,https://arda.africa/societe-africaine-de-raffinage-sar/,"SAR M'Bao (Dakar), ~1.5 Mt/yr; WP list omits it",2026-05-29
Ruwais Refinery,817000,40768,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Mina Abdullah,270000,13473,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Duqm Refinery,230000,11477,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
MAA Refinery,346000,17265,https://www.knpc.com.kw/en/AboutKNPC/Pages/MAA.aspx,KNPC Mina Al Ahmadi; WP list omits it,2026-05-29
Al Zour,615000,30688,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Samref,400000,19960,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Sitra Refinery,265000,13224,https://www.hydrocarbonprocessing.com/news/2025/09/bapco-expects-to-commission-400-000-bpd-sitra-refinery-in-q4/,Bapco Sitra pre-BMP capacity (expansion to ~400k commissioning Q4 2025),2026-05-29
S-Oil Onsan,669000,33383,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Sinopec HK Hainan,184000,9182,https://www.offshore-technology.com/marketdata/hainan-refinery-china/,Same complex as Sinopec Hainan under a second Kpler label,2026-05-29
CITGO Lake Charles Refinery,455000,22704,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
KNOC Daesan,561000,27994,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
ExxonMobil Baton Rouge Refinery,522500,26073,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Total Daesan Hanwha Refinery,200000,9980,https://www.offshore-technology.com/marketdata/daesan-ii-refinery-south-korea/,"Hanwha TotalEnergies Daesan condensate splitter; approximate, immaterial (clean)",2026-05-29
SK Ulsan,840000,41916,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Petrochina Jieyang Refinery,400000,19960,https://www.rigzone.com/news/wire/chinese_mega_refinery_lifts_heavy_oil_prices_from_the_doldrums-30-mar-2023-172408-article/,PetroChina Guangdong (Jieyang); WP list omits it,2026-05-29
Mesaieed Refinery,137000,6836,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Marathon Texas City Refinery,631000,31487,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
BP Rotterdam,400000,19960,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
Sasol Augusta,190000,9481,https://en.wikipedia.org/w/index.php?title=List%20of%20oil%20refineries&oldid=1356770312,Wikipedia 'List of oil refineries' (rev 1356770312),2026-05-29
